sp	habitat
OG0012997	NMIR1	Marine
OG0012999	PMAC1	NonMarine
OG0013005	SSUL1	Marine
OG0013006	TLIN1	Marine
OG0013171	MCOR1	Marine
OG0013194	BPLI1	Marine
OG0013195	BPLI1	Marine
OG0013196	BPLI1	Marine
OG0013217	CRVI1	Marine
OG0013218	CTEL1	Marine
OG0013219	CTEL1	Marine
OG0013220	CTEL1	Marine
OG0013225	FKUR1	NonMarine
OG0013226	FSAG1	Marine
OG0013232	LFLA1	NonMarine
OG0013239	LSTA1	NonMarine
OG0013240	MCOR1	Marine
OG0013241	MCOR1	Marine
OG0013242	MCOR1	Marine
OG0013244	MCOR1	Marine
OG0013245	MCOR1	Marine
OG0013246	MCOR1	Marine
OG0013247	MCOR1	Marine
OG0013248	MCOR1	Marine
OG0013249	MFOD1	Marine
OG0013250	MHON1	Marine
OG0013251	MMAR1	NonMarine
OG0013252	MMAR1	NonMarine
OG0013253	OSIN1	Marine
OG0013254	PSOL1	NonMarine
OG0013260	TLIN1	Marine
OG0013261	TLIN1	Marine
OG0013262	TLIN1	Marine
OG0013381	ADUX1	Marine
OG0013382	ADUX1	Marine
OG0013397	AENT2	Marine
OG0013444	SGLO1	Marine
OG0013446	ECHI1	NonMarine
OG0013448	MCOR1	Marine
OG0013459	BPLA1	Marine
OG0013469	BPLI1	Marine
OG0013472	BPLI1	Marine
OG0013474	BPLI1	Marine
OG0013475	BPLI1	Marine
OG0013476	BPLI1	Marine
OG0013477	BPLI1	Marine
OG0013510	CTEL1	Marine
OG0013511	CTEL1	Marine
OG0013512	CTEL1	Marine
OG0013513	CTEL1	Marine
OG0013515	DRET1	NonMarine
OG0013517	DROS1	NonMarine
OG0013519	ECHI1	NonMarine
OG0013523	FSAG1	Marine
OG0013525	GTOL1	Marine
OG0013532	LSTA1	NonMarine
OG0013533	LSTA1	NonMarine
OG0013535	MCOR1	Marine
OG0013536	MCOR1	Marine
OG0013537	MCOR1	Marine
OG0013538	MCOR1	Marine
OG0013539	MCOR1	Marine
OG0013540	MCOR1	Marine
OG0013541	MCOR1	Marine
OG0013542	MCOR1	Marine
OG0013543	MCOR1	Marine
OG0013545	MMAR1	NonMarine
OG0013546	MMAR1	NonMarine
OG0013547	MMAR1	NonMarine
OG0013548	NMIR1	Marine
OG0013550	PSOL1	NonMarine
OG0013552	SCON1	Marine
OG0013555	SSUL1	Marine
OG0013557	TLIN1	Marine
OG0013558	TLIN1	Marine
OG0013559	TLIN1	Marine
OG0013560	TLIN1	Marine
OG0013561	ABIP1	NonMarine
OG0013563	ABIP1	NonMarine
OG0013612	ACAL1	Marine
OG0013683	ADUX1	Marine
OG0013733	FCAU1	Marine
OG0013735	MCOR1	Marine
OG0013763	BPLI1	Marine
